ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Residence,,Wealth quintile,,Source,
,,,UNICEF Sub-region 1,,,Rural,Urban,Poorest,Richest,Data source,Time period
AGO,Angola,SSA,ESA,Lower middle income (LM),15%,2%,22%,0%,61%,Demographic and Health Survey,2015-16
ARG,Argentina,LAC,LAC,Upper middle income (UM),39%,,,,,Multiple Indicator Cluster Survey,2011-12
ARM,Armenia,ECA,EECA,Upper middle income (UM),81%,69%,89%,46%,99%,Demographic and Health Survey,2015-16
BGD,Bangladesh,SA,SA,Lower middle income (LM),34%,30%,49%,7%,75%,Multiple Indicator Cluster Survey,2019
BRB,Barbados,LAC,LAC,High income (H),63%,54%,68%,9%,97%,Multiple Indicator Cluster Survey,2012
BEN,Benin,SSA,WCA,Low income (L),3%,1%,6%,0%,14%,Demographic and Health Survey,2017-18
BOL,Bolivia (Plurinational State of),LAC,LAC,Lower middle income (LM),11%,4%,15%,,,EDSA,2016
BIH,Bosnia and Herzegovina,ECA,EECA,Upper middle income (UM),51%,43%,68%,3%,95%,Multiple Indicator Cluster Survey,2011-12
BRA,Brazil,LAC,LAC,Upper middle income (UM),82%,49%,88%,86%,100%,"Brazil Continuous National Household Sample Survey (Continuous PNAD) 2018, IBGE.",2018
BGR,Bulgaria,ECA,EECA,Upper middle income (UM),73%,65%,77%,24%,98%,Bulgarian Longitudinal Inclusive Society Survey (BLISS) 2013,2013
BFA,Burkina Faso,SSA,WCA,Low income (L),1%,1%,3%,1%,4%,Demographic and Health Survey,2010
CMR,Cameroon,SSA,WCA,Lower middle income (LM),4%,0%,9%,0%,22%,Multiple Indicator Cluster Survey,2014
CAF,Central African Republic,SSA,WCA,Low income (L),3%,1%,8%,0%,15%,Multiple Indicator Cluster Survey,2018-19
TCD,Chad,SSA,WCA,Low income (L),2%,1%,8%,0%,9%,Multiple Indicator Cluster Survey,2019
CHL,Chile,LAC,LAC,High income (H),86%,69%,88%,71%,99%,CASEN,2017
CHN,China,EAP,EAP,Upper middle income (UM),62%,53%,91%,,,CHARLS 2018,2018
COL,Colombia,LAC,LAC,Upper middle income (UM),33%,4%,45%,1%,98%,Demographic and Health Survey,2015-16
CRI,Costa Rica,LAC,LAC,Upper middle income (UM),70%,61%,74%,44%,99%,Multiple Indicator Cluster Survey,2018
CIV,Côte d'Ivoire,SSA,WCA,Lower middle income (LM),2%,0%,5%,0%,13%,Multiple Indicator Cluster Survey,2016
CUB,Cuba,LAC,LAC,Upper middle income (UM),5%,2%,6%,16%,0%,Multiple Indicator Cluster Survey,2019
COD,Democratic Republic of the Congo,SSA,WCA,Low income (L),1%,0%,2%,0%,3%,Multiple Indicator Cluster Survey,2017-18
DJI,Djibouti,SSA,ESA,Lower middle income (LM),4%,1%,8%,1%,32%,Enquête Djiboutienne Auprès des Ménages pour les Indicateurs Sociaux 2012 - Données pour utilisation publique,2012
DOM,Dominican Republic,LAC,LAC,Upper middle income (UM),24%,9%,29%,0%,78%,Multiple Indicator Cluster Survey,2014
ECU,Ecuador,LAC,LAC,Upper middle income (UM),40%,19%,50%,,,ENSANUT,2018
EGY,Egypt,MENA,MENA,Lower middle income (LM),16%,9%,27%,,,"2015 Household Income, Expenditure and Consumption Survey",2015
GMB,Gambia,SSA,WCA,Low income (L),64%,46%,74%,25%,93%,Multiple Indicator Cluster Survey,2018
GEO,Georgia,ECA,EECA,Upper middle income (UM),84%,70%,93%,46%,99%,Multiple Indicator Cluster Survey,2018
GHA,Ghana,SSA,WCA,Lower middle income (LM),16%,10%,25%,2%,52%,Multiple Indicator Cluster Survey,2017-18
GTM,Guatemala,LAC,LAC,Upper middle income (UM),8%,2%,16%,0%,43%,Demographic and Health Survey,2014-15
GNB,Guinea-Bissau,SSA,WCA,Low income (L),2%,1%,4%,0%,5%,Multiple Indicator Cluster Survey,2018-19
HTI,Haiti,LAC,LAC,Low income (L),18%,10%,33%,0%,60%,Demographic and Health Survey,2016-17
IND,India,SA,SA,Lower middle income (LM),7%,4%,14%,0%,33%,Demographic and Health Survey,2015-16
IDN,Indonesia,EAP,EAP,Lower middle income (LM),17%,9%,24%,5%,44%,SUSENAS,2019
IRQ,Iraq,MENA,MENA,Upper middle income (UM),46%,33%,53%,14%,83%,Multiple Indicator Cluster Survey,2018
ITA,Italy,ECA,WE,High income (H),63%,,,,,Multiscopo sulle famiglie: aspetti della vita quotidiana,2018
JPN,Japan,EAP,EAP,High income (H),75%,81%,74%,62%,85%,The Japan Household Panel Survey,2018
JOR,Jordan,MENA,MENA,Upper middle income (UM),36%,33%,36%,23%,72%,Demographic and Health Survey,2017-18
KEN,Kenya,SSA,ESA,Lower middle income (LM),30%,,22%,,,STEP Skills Measurement Household Survey 2013 (Wave 2),2013
KIR,Kiribati,EAP,EAP,Lower middle income (LM),50%,32%,66%,12%,86%,Multiple Indicator Cluster Survey,2018-19
KGZ,Kyrgyzstan,ECA,EECA,Lower middle income (LM),72%,69%,81%,53%,89%,Multiple Indicator Cluster Survey,2018
LAO,Lao People's Democratic Republic,EAP,EAP,Lower middle income (LM),1%,1%,4%,0%,5%,Multiple Indicator Cluster Survey,2017
LSO,Lesotho,SSA,ESA,Lower middle income (LM),30%,21%,50%,5%,68%,Multiple Indicator Cluster Survey,2018
MDG,Madagascar,SSA,ESA,Low income (L),9%,5%,24%,0%,44%,Multiple Indicator Cluster Survey,2018
MDV,Maldives,SA,SA,Upper middle income (UM),70%,68%,74%,49%,94%,Demographic and Health Survey,2016-17
