,antecedents,consequents,support,confidence,lift
12,"frozenset({'Total(%): (-0.095, 31.667]'})","frozenset({'Poorest(%): (-0.086, 28.667]', 'Rural(%): (-0.094, 31.333]'})",0.56,1.0,1.6129032258064517
13,"frozenset({'Rural(%): (-0.094, 31.333]'})","frozenset({'Poorest(%): (-0.086, 28.667]', 'Total(%): (-0.095, 31.667]'})",0.56,0.903225806451613,1.6129032258064515
14,"frozenset({'Total(%): (-0.095, 31.667]', 'Richest(%): (-0.095, 31.667]'})","frozenset({'Rural(%): (-0.094, 31.333]'})",0.56,1.0,1.6129032258064517
15,"frozenset({'Total(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})","frozenset({'Richest(%): (-0.095, 31.667]'})",0.56,1.0,1.7857142857142856
16,"frozenset({'Richest(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})","frozenset({'Total(%): (-0.095, 31.667]'})",0.56,1.0,1.7857142857142856
17,"frozenset({'Total(%): (-0.095, 31.667]'})","frozenset({'Richest(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})",0.56,1.0,1.7857142857142856
18,"frozenset({'Richest(%): (-0.095, 31.667]'})","frozenset({'Total(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})",0.56,1.0,1.7857142857142856
10,"frozenset({'Poorest(%): (-0.086, 28.667]', 'Rural(%): (-0.094, 31.333]'})","frozenset({'Total(%): (-0.095, 31.667]'})",0.56,0.903225806451613,1.6129032258064515
42,"frozenset({'Rural(%): (-0.094, 31.333]'})","frozenset({'Poorest(%): (-0.086, 28.667]', 'Total(%): (-0.095, 31.667]', 'Richest(%): (-0.095, 31.667]'})",0.56,0.903225806451613,1.6129032258064515
5,"frozenset({'Rural(%): (-0.094, 31.333]'})","frozenset({'Poorest(%): (-0.086, 28.667]'})",0.62,1.0,1.282051282051282
